accession_code,c_max_mbl,f_max_mbl,p_max_mbl
O94868,10,9,17
O94875,13,15,
O94906,13,15,20
O94913,13,13,
O94953,10,13,
O95071,13,15,23
O95149,13,4,16
O95154,10,15,
O95163,10,,
O95166,10,15,19
O95235,10,17,19
O95238,,16,20
O95257,13,,19
O95273,13,,
O95319,13,,13
O95361,10,15,21
O95372,10,6,17
O95390,9,,17
O95393,10,10,18
O95399,9,11,16
O95429,13,15,18
O95484,10,9,
O95631,10,,
O95704,13,10,17
O95727,10,15,17
O95760,13,10,20
O95801,13,,20
O95833,13,15,19
O95834,,13,16
O95835,10,18,18
O95868,10,15,
O95881,9,13,
O95970,9,11,17
O95980,10,11,11
O95994,12,15,16
O95997,13,11,16
O95998,9,4,
O96013,10,14,17
O96018,7,15,8
O96020,10,,16
O96028,12,17,15
O96033,10,,
O97364,10,,12
P00004,,15,11
P00044,11,14,2
P00191,,2,8
P00257,,13,10
P00326,11,14,
P00330,10,15,17
P00342,11,1,16
P00346,,13,
P00358,10,14,21
P00359,10,14,21
P00360,10,14,21
P00374,10,13,20
P00375,13,13,15
P00390,10,7,
P00445,13,11,20
P00519,13,18,22
P00533,13,15,20
P00546,13,15,20
P00549,10,13,21
P00558,11,14,22
P00560,10,9,21
P00568,,3,9
P00572,13,3,2
P00684,10,,
P00724,10,2,6
P00734,10,11,20
P00748,10,11,21
P00803,10,11,14
P00805,9,15,17
P00812,10,17,4
P00883,,11,21
P00894,10,,11
P00924,10,13,21
P00925,10,13,21
P00942,10,10,21
P00957,10,17,17
P00958,12,12,14
P01023,10,15,
P01027,9,,19
P01031,9,11,17
P01097,10,8,
P01139,9,13,19
P01160,9,11,20
P01189,13,11,20
P01210,9,7,11
P01225,10,,17
P01236,9,,18
P01258,9,15,19
P01270,9,10,20
P01282,9,7,20
P01298,9,11,14
P01315,,15,18
P01317,8,15,18
P01501,,8,
P01555,9,8,17
P01556,9,6,17
P01563,9,10,20
P01575,9,10,20
P01579,9,10,20
P01583,10,14,18
P01584,10,11,20
P01586,8,10,19
P01588,9,12,20
P01593,10,,
P01594,10,15,
P01597,10,,
P01700,10,,
P01704,10,,
P01709,10,,
P01721,10,,
P01731,10,15,20
P01764,10,,
P01772,10,,
P01857,9,10,15
P01859,9,,
P01867,9,5,19
P02042,10,,9
P02091,0,10,9
P02100,10,,9
P02293,4,15,20
P02294,4,,14
P02309,4,15,15
P02359,10,11,20
P02489,13,15,16
P02511,13,15,17
P02585,10,,4
P02649,12,15,20
P02686,10,15,21
P02730,10,13,14
P02745,9,11,15
P02746,9,,15
P02747,9,,17
P02753,9,10,18
P02767,9,10,10
P02789,8,14,17
P02942,10,15,16
P03069,13,19,20
P03087,,15,
P03126,,15,20
P03255,4,15,15
P03372,13,19,20
P03375,4,10,
P03452,10,,17
P03485,10,,17
P03612,,15,
P03615,,14,
P03952,10,11,17
P03957,11,10,18
P03971,9,11,16
P04002,8,15,
P04049,10,15,18
P04053,13,,13
P04075,13,15,21
P04156,11,15,19
P04278,,10,
P04279,9,17,19
P04347,12,,
P04351,8,10,20
P04370,10,15,16
P04385,10,,15
P04397,10,2,15
P04406,13,15,20
P04418,,11,
P04509,0,,
P04591,3,,15
P04626,13,15,19
P04637,13,19,20
P04696,3,,
P04739,10,,12
P04764,11,15,22
P04776,12,,
P04792,13,17,19
P04797,13,15,21
P04806,10,14,21
P04807,13,14,21
P04818,13,12,20
P04819,13,,15
P04899,11,,14
P04911,4,15,20
P05030,11,,19
P05031,,2,19
P05062,10,15,21
P05064,10,11,22
P05090,8,13,18
P05112,9,10,20
P05113,9,10,16
P05120,10,,20
P05122,10,,16
P05129,8,13,19
P05141,10,15,14
P05187,10,,
P05219,13,,15
P05230,10,11,20
P05451,,10,
P05696,10,11,20
P05979,,13,
P05981,10,11,21
P06106,,8,8
P06132,10,,1
P06151,10,1,15
P06168,10,12,15
P06169,13,2,15
P06241,11,15,21
P06243,13,15,17
P06307,9,6,11
P06312,10,,
P06367,10,11,16
P06454,13,15,16
P06612,10,5,12
P06681,9,,15
P06702,13,17,19
P06704,1,15,18
P06709,9,18,1
P06733,10,18,22
P06744,13,15,16
P06745,10,10,22
P06789,5,12,14
P06821,10,9,
P06850,9,11,17
P06881,10,11,20
P06907,10,,16
P06983,10,,12
P06993,,15,
P07014,,10,16
P07017,10,15,16
P07102,5,3,13
P07141,9,15,20
P07148,10,7,18
P07250,13,12,20
P07288,9,11,14
P07315,13,,16
P07327,11,14,
P07335,11,,17
P07358,9,,13
P07359,10,,20
P07363,10,1,15
P07395,10,15,
P07492,9,7,14
P07550,12,15,18
P07636,,14,
P07764,6,11,22
P07814,10,17,20
P07900,13,18,20
P07998,,9,
P08037,8,14,11
P08048,12,,
P08118,13,,
P08134,9,,20
P08168,10,15,14
P08169,10,6,
P08171,9,9,11
P08183,10,18,17
P08191,6,6,13
P08237,13,18,21
P08238,13,18,18
P08240,9,,
P08244,10,1,14
P08254,9,11,16
P08312,10,,
P08318,4,,
P08393,,15,22
P08487,10,,15
P08572,9,10,22
P08621,13,14,16
P08638,13,14,20
P08640,10,15,13
P08670,10,15,16
P08700,9,10,17
P08902,,15,
P08909,10,,17
P09032,3,10,18
P09038,9,15,20
P09041,11,9,21
P09056,,10,20
P09086,13,16,13
P09104,10,,22
P09169,4,11,14
P09201,10,16,17
P09237,9,11,18
P09326,11,10,14
P09382,10,10,18
P09429,13,17,22
P09446,13,17,16
P09455,10,2,15
P09467,13,16,20
P09546,10,18,17
P09616,,15,
P09733,1,,19
P09758,10,,16
P09874,13,17,20
P09913,12,,21
P09914,10,14,21
P09956,13,12,20
P09960,12,17,9
P0A0M0,,6,
P0A3J0,9,9,15
P0A6E6,0,,1
P0A6F1,10,12,14
P0A6L0,10,9,16
P0A6S5,2,15,10
P0A6Y1,10,,15
P0A744,10,9,15
P0A7E9,10,15,
P0A7J3,10,11,20
P0A7L0,10,10,19
P0A7R5,10,,10
P0A7V8,10,12,16
P0A7W7,10,10,16
P0A855,9,11,17
P0A870,10,1,
P0A894,9,15,17
P0A8M3,10,18,16
P0A903,9,15,17
P0A912,4,,11
P0A935,5,1,9
P0A937,9,15,17
P0A964,10,11,15
P0A9Q7,10,15,16
P0AA37,,2,15
P0AAR3,10,13,14
P0AAW9,10,11,12
P0AB58,10,13,
P0ABB0,0,,17
P0ABB4,0,,1
P0ABC7,10,,15
P0ABE5,10,11,13
P0ABI4,,3,4
P0ABU9,10,,17
P0ABV6,10,,11
P0AC13,10,,14
P0AC19,10,15,
P0ACC1,,2,15
P0ACE3,10,15,15
P0ACN4,10,15,17
P0ADS2,10,15,17
P0ADY3,10,,
P0AE85,5,15,15
P0AE88,10,12,17
P0AEJ6,10,,
P0AER0,10,6,9
P0AES9,5,15,11
P0AEU7,5,15,16
P0AEY8,10,2,15
P0AF36,10,15,10
P0AFF6,10,11,12
P0AFL3,5,,
P0AFM6,10,15,17
P0AFR2,10,2,3
P0AFW0,,9,16
P0AFX0,10,11,20
P0AFX7,10,10,12
P0AG30,10,15,11
P0AG40,,5,
P0AG86,10,10,18
P0AGC3,5,1,1
P0C0L5,10,7,14
P0C0T5,,11,14
P0C0V0,10,15,15
P0C1S8,10,,
P0C5Z0,5,,13
P0C7P0,10,13,
P0C7R1,6,17,1
P0C8E7,,5,
P0CG04,10,,
P0CG47,10,,19
P0CG48,10,,
P0CJ48,,11,
P0CT31,10,13,15
P0CX45,10,10,17
P0CY29,9,2,15
P0DJD3,12,11,15
P0DJL7,,15,
P0DMC3,9,6,17
P0DMC5,10,1,14
P0DN86,9,6,17
P0DOB5,,15,17
P0DOY2,10,,
P0DP23,11,17,19
P0DPB6,2,,
P0DPD7,,4,
P0DPK2,10,,
P0DPK5,10,,
P0DTC5,10,15,12
P0DTD2,5,15,18
P10082,9,11,
P10096,10,13,
P10275,13,19,20
P10276,13,19,21
P10300,10,,
P10398,,14,16
P10443,10,,11
P10493,9,9,15
P10503,,15,17
P10613,10,,16
P10645,9,,18
P10768,9,15,
P10809,12,15,22
P10810,11,,21
P10826,13,16,11
P10852,10,13,
P10987,5,,17
P11103,13,13,18
P11124,,5,
P11142,13,18,18
P11229,9,15,17
P11325,10,12,16
P11415,,7,
P11473,13,15,21
P11488,10,,16
P11541,4,,
P11551,10,3,4
P11574,13,13,17
P11655,12,12,10
P11672,10,14,19
P11827,12,,
P11836,10,15,18
P11859,9,10,19
P11880,10,2,10
P11940,13,14,20
P11980,,15,21
P12004,13,16,20
P12063,,15,19
P12104,,1,
P12235,10,14,17
P12271,11,,16
P12272,10,6,16
P12318,10,,
P12425,,15,17
P12476,0,,18
P12530,,2,14
P12645,,13,14
P12670,10,,19
P12931,12,15,21
P12955,,4,14
P12956,13,17,20
P12960,11,7,17
P13001,,5,1
P13010,13,17,18
P13199,,14,
P13232,9,10,16
P13299,9,17,17
P13458,8,15,16
P13489,13,,14
P13569,12,18,18
P13598,8,11,
P13635,9,14,16
P13639,13,17,16
P13667,9,1,14
P13686,10,14,
P13716,13,17,16
P13721,8,,16
P13725,9,10,20
P13727,12,7,
P13797,10,,14
P13929,10,,22
P14069,,17,
P14079,5,,16
P14091,11,10,14
P14099,,2,
P14120,10,14,15
P14209,10,,
P14324,10,,
P14373,13,15,23
P14384,10,12,14
P14540,10,11,22
P14550,,3,13
P14618,13,15,21
P14738,,10,7
P14755,10,14,
P14859,13,19,20
P14868,10,,15
P14902,10,7,15
P14907,5,7,19
P14921,13,19,20
P15018,10,11,20
P15151,10,11,17
P15202,8,,15
P15208,12,14,17
P15248,9,10,16
P15260,10,,19
P15291,11,15,13
P15303,12,13,16
P15336,13,20,22
P15391,10,,18
P15692,11,15,20
P15700,13,3,14
P15812,12,,
P15822,13,16,20
P15891,6,13,19
P15926,,11,7
P16045,9,7,16
P16143,13,12,15
P16152,10,8,16
P16219,10,,1
P16233,9,5,13
P16297,10,,
P16330,10,,16
P16333,12,14,21
P16402,9,13,
P16435,9,,11
P16554,10,,16
P16568,10,12,19
P16662,9,,13
P16686,4,15,11
P16687,4,,11
P16858,10,15,22
P16860,9,11,22
P16885,10,17,18
P16951,13,20,21
P17256,10,18,20
P17506,10,,
P17515,10,,20
P17555,5,15,16
P17562,10,,
P17710,11,15,22
P17741,9,15,17
P17888,,11,17
P17931,13,13,17
P18014,9,15,18
P18054,10,2,15
P18065,8,11,17
P18075,9,13,18
P18196,10,15,
P18239,9,14,21
P18291,12,11,15
P18433,10,13,
P18509,9,11,20
P18510,11,4,15
P18545,10,8,16
P18627,,6,
P18670,,7,
P18708,8,15,
P18956,5,2,8
P19087,10,,4
P19156,,14,
P19174,12,17,20
P19221,,11,17
P19338,13,15,20
P19414,11,13,15
P19447,13,17,20
P19544,13,19,20
P19784,13,14,17
P19793,13,19,21
P19835,9,8,6
P19880,13,12,17
P19889,10,15,15
P19926,5,4,
P19934,10,13,17
P19971,,13,15
P20042,10,10,10
P20065,13,,17
P20068,10,,18
P20290,10,,
P20338,9,15,
P20443,4,10,
P20592,10,15,20
P20676,5,7,19
P20783,9,11,18
P20809,9,10,20
P20826,10,10,17
P20827,,11,19
P20937,10,9,
P21187,10,11,16
P21243,12,,18
P21266,10,15,17
P21327,,4,
P21333,13,15,20
P21374,10,,1
P21375,12,,11
P21399,12,14,12
P21570,13,14,16
P21583,10,,15
P21860,10,15,17
P21980,13,15,19
P21981,9,13,16
P22736,13,16,20
P23202,10,11,14
P23219,10,8,
P23256,,15,
P23381,13,17,17
P23396,13,17,20
P23568,10,10,
P23872,,13,
P24058,,7,14
P24228,10,14,10
P24278,10,12,
P25233,13,13,20
P25539,,12,
P25788,13,15,18
P25858,13,14,21
P25911,13,15,23
P26639,10,18,10
P27278,9,18,17
P27302,10,14,
P27361,12,15,20
P27487,10,15,18
P27540,13,18,20
P27635,13,10,20
P27695,13,16,20
P27797,13,18,20
P27986,10,15,20
P28241,10,,10
P28482,13,15,20
P28702,13,18,20
P28741,11,13,21
P28834,11,,10
P28862,10,,16
P29055,13,13,15
P29350,13,17,22
P30041,13,15,15
P30575,13,13,21
P30822,13,9,18
P31230,10,10,13
P31658,10,13,16
P31681,9,,16
P31725,8,,17
P32121,13,15,20
P32189,13,,16
P32243,13,19,20
P32325,13,13,17
P32527,12,15,18
P32790,13,15,20
P32835,13,15,19
P32856,10,15,16
P33421,7,,15
P34760,10,15,20
P34896,10,15,20
P34960,13,,20
P35846,10,9,17
P36006,,,17
P36024,13,15,16
P36776,10,18,18
P36873,13,17,19
P36969,10,15,14
P37231,13,19,22
P37282,9,9,
P37370,10,9,17
P37887,9,15,19
P38011,10,11,20
P38398,13,17,22
P38822,10,11,16
P38936,13,17,22
P39099,4,15,14
P39310,,,10
P39533,,,10
P39633,,,8
P39743,6,15,17
P40054,,4,
P40429,10,10,20
P40763,13,19,21
P41250,11,15,17
P41797,10,10,19
P41834,12,,15
P41911,10,,17
P42227,13,17,21
P42566,10,11,16
P42684,10,15,18
P42801,10,,13
P42834,7,,
P42858,13,15,21
P43138,8,17,19
P43274,13,15,20
P43364,10,,
P43405,13,15,21
P43593,12,11,16
P44324,,,21
P45850,10,15,13
P45880,11,13,14
P45973,13,15,20
P46108,13,14,17
P46273,10,,19
P46527,13,17,20
P46587,10,10,13
P46777,13,15,19
P46937,13,17,20
P47017,13,13,16
P47068,5,2,20
P47135,10,11,16
P47543,10,14,16
P47897,10,17,17
P47992,9,13,20
P48415,2,10,15
P48570,13,,16
P48601,10,,18
P48962,1,14,18
P49407,13,15,20
P49710,13,11,20
P50142,10,11,16
P50222,13,19,20
P50362,6,15,
P50552,11,9,19
P50570,11,15,17
P51668,10,15,22
P51881,7,14,18
P51948,12,17,17
P51965,13,13,22
P52286,13,13,19
P52735,10,13,19
P52987,9,9,
P53350,13,18,22
P53675,12,,16
P54253,13,15,18
P54279,,,16
P54786,10,,18
P55055,13,19,20
P55072,13,17,20
P55084,12,11,1
P55853,,15,20
P56192,12,12,17
P57086,13,,
P58340,7,11,16
P59240,10,,15
P60010,13,18,17
P60174,,15,
P60411,10,,
P60520,10,15,16
P60723,10,15,20
P60953,10,17,20
P61077,10,15,22
P61086,10,15,20
P61088,13,15,23
P61254,12,12,20
P61457,10,15,
P61459,,15,17
P61866,,,15
P61964,13,11,20
P61978,13,15,18
P62081,13,17,19
P62136,13,14,16
P62256,10,13,20
P62258,13,15,21
P62263,12,12,20
P62277,13,12,17
P62310,13,,16
P62328,13,15,18
P62829,12,16,20
P62837,10,15,22
P62913,12,15,19
P62993,13,17,17
P63085,13,15,20
P63104,13,17,20
P63159,11,13,21
P63165,13,15,20
P63208,13,14,22
P63279,13,15,20
P67809,12,16,20
P67870,13,16,18
P68036,13,15,22
P68104,13,17,17
P68105,10,15,
P68187,9,18,6
P68400,13,15,20
P68767,,15,15
P69786,10,,17
P75391,10,10,17
P76014,10,18,13
P76015,10,15,16
P78352,11,12,17
P78362,13,18,18
P80188,8,15,19
P82612,9,,15
P83780,9,,
P84022,13,19,20
P98170,13,15,23
P98175,13,15,
P99999,13,11,12
P9WK17,10,14,15
P9WPE9,,10,15
P9WPW9,,11,10
P9WQN9,9,9,15
P9WQP1,9,10,21
P9WQP3,9,9,
Q00534,13,18,19
Q00610,12,13,17
Q00613,13,19,20
Q00987,13,17,22
Q01217,8,8,17
Q03790,5,15,19
Q04120,10,11,17
Q04439,5,15,17
Q04637,13,18,19
Q05080,10,15,17
Q05086,,15,22
Q05128,11,15,17
Q05201,13,15,20
Q05513,10,14,19
Q05516,13,19,20
Q06124,13,14,19
Q06208,7,13,17
Q06406,13,,16
Q06449,10,,20
Q06559,13,16,16
Q07637,9,13,17
Q08117,13,15,20
Q08379,10,17,18
Q08438,8,15,12
Q09472,13,20,23
Q0P891,,,10
Q0VCU1,10,14,12
Q10838,,,15
Q12018,11,13,19
Q12309,10,13,17
Q12349,7,,17
Q12873,13,17,20
Q12904,10,13,15
Q13064,,15,
Q13114,11,15,23
Q13153,12,15,21
Q13200,13,,
Q13387,10,17,16
Q13404,10,,23
Q13480,10,,17
Q13492,13,12,17
Q13501,10,17,20
Q13596,11,15,17
Q13825,8,11,
Q13951,10,,22
Q14103,13,14,20
Q14152,12,14,12
Q14160,11,12,16
Q14247,10,9,19
Q14457,12,17,21
Q15024,13,14,15
Q15038,13,15,17
Q15046,13,15,20
Q15154,11,10,17
Q15428,13,,16
Q15477,10,,12
Q15637,10,15,1
Q15750,12,13,17
Q15797,13,19,20
Q15843,10,15,18
Q16543,11,12,18
Q16659,10,,11
Q21921,13,9,17
Q22289,13,18,13
Q24314,11,,17
Q24803,,14,
Q27727,10,14,15
Q27820,10,14,21
Q28399,9,15,15
Q383B2,10,,
Q3E7X9,10,10,18
Q3HL75,10,13,
Q3UVR3,10,14,15
Q3Y454,9,14,21
Q42403,10,11,17
Q42525,13,15,17
Q43155,1,15,
Q59NQ5,,,16
Q5A0M4,10,15,
Q5BJF6,11,12,14
Q5JFD7,2,13,
Q5JFG7,2,15,
Q5SW96,12,15,17
Q5XIM7,13,18,20
Q60591,13,19,20
Q61171,10,7,18
Q61371,11,,17
Q63HR2,11,15,15
Q66GS9,11,15,15
Q6GIL8,,14,
Q6NUS6,13,,16
Q6P9J9,10,15,19
Q6PDN3,10,15,16
Q6Q3I2,9,14,16
Q6UWE0,10,15,22
Q6ZNA4,10,15,20
Q6ZU80,11,,14
Q74JU6,10,,20
Q74K78,,9,
Q75NZ0,1,15,17
Q7JXV9,,,18
Q7L0Y3,10,15,12
Q7L5D6,12,13,18
Q7LX99,9,13,14
Q7WTU1,8,9,15
Q7YZX3,13,,14
Q7Z3B3,13,,
Q80VW7,11,,16
Q86VP1,10,10,16
Q86X19,,,16
Q88YH3,9,10,
Q8BH75,,12,22
Q8DTS9,10,13,
Q8IUQ4,10,17,18
Q8IWX8,10,10,17
Q8IXK0,13,15,
Q8IZH2,10,13,18
Q8IZU0,13,,
Q8N0Z3,11,,17
Q8N165,10,,
Q8N3Y7,13,16,20
Q8N8N0,11,15,23
Q8N960,11,,13
Q8NEU8,13,15,19
Q8R010,13,10,20
Q8TAD8,13,,16
Q8TB24,12,12,12
Q8TBC4,13,15,17
Q8WUM4,10,13,17
Q8WV44,10,15,20
Q8WWY3,13,15,16
Q8WYB5,13,19,17
Q8WZ42,10,17,19
Q92448,7,,18
Q92569,10,13,18
Q92731,13,19,20
Q92734,10,15,2
Q92890,10,11,18
Q92997,10,14,20
Q93062,13,15,15
Q93VT9,13,11,20
Q94420,10,17,22
Q95017,,16,20
Q969T4,10,13,23
Q96AP0,10,13,17
Q96B02,10,15,21
Q96EB6,13,17,20
Q96EZ8,13,12,17
Q96L73,10,19,17
Q96LK0,11,,16
Q96LR5,,13,23
Q96Q45,11,,15
Q96RG2,13,14,18
Q96SB4,13,18,18
Q96VN5,10,10,21
Q99816,12,15,18
Q9AIS0,,10,14
Q9ALW2,,15,
Q9BPZ3,10,8,16
Q9BQB6,12,2,13
Q9BRJ7,13,,17
Q9BSI4,10,13,16
Q9BWF3,13,14,20
Q9BYE9,10,11,16
Q9BYF1,11,17,19
Q9BZR9,13,15,23
Q9C019,13,15,19
Q9C035,10,17,23
Q9C0C9,13,15,23
Q9CR42,13,12,17
Q9CW03,13,18,13
Q9CXW4,12,10,17
Q9CZD3,11,11,
Q9D1M4,13,,17
Q9FNJ8,6,2,9
Q9GZM8,11,15,15
Q9H0A6,11,,
Q9H0M0,10,13,20
Q9H190,12,15,13
Q9H211,13,13,17
Q9H307,10,,16
Q9H4A3,13,18,19
Q9H6Y7,11,15,23
Q9H8X2,12,10,16
Q9HAU5,13,13,13
Q9HD42,12,17,19
Q9JHG7,10,12,17
Q9JL25,10,,16
Q9K498,10,7,7
Q9KK62,5,,
Q9KKF0,10,,16
Q9MZB4,11,9,14
Q9NP31,10,,11
Q9NPD3,13,,20
Q9NPI8,10,,
Q9NQ66,10,15,19
Q9NQX1,13,19,20
Q9NQX3,11,15,12
Q9NR28,11,,17
Q9NRD5,10,15,17
Q9NRI5,11,15,16
Q9NUX5,10,13,17
Q9NYB9,11,15,18
Q9P2J5,12,13,19
Q9P2N6,10,,
Q9QWV4,13,15,15
Q9SSE7,6,2,
Q9UBC2,10,,
Q9UHD9,10,15,17
Q9UJV3,9,15,19
Q9UKG1,13,15,19
Q9UMS4,13,15,23
Q9UNE7,13,15,23
Q9UQE7,10,12,18
Q9URB4,10,,19
Q9UTI7,,12,17
Q9V4S8,6,,16
Q9VD72,,,18
Q9VDV4,,13,16
Q9VMB4,10,13,15
Q9VU15,,,16
Q9VU87,10,11,18
Q9Y2D1,13,18,20
Q9Y2D8,11,,17
Q9Y2X8,,13,23
Q9Y3E5,10,,16
Q9Y4K3,13,15,23
Q9Y4L5,12,15,22
Q9Y6I3,10,8,
Q9Y6K9,13,15,20
Q9Y6Q9,13,19,20
Q9Y6X0,13,,
Q9Y7F0,13,9,18
Q9Z0E3,13,15,20
Q9ZVD5,12,13,20
